Date,^SSMI,ABBN.SW,NESN.SW,NOVN.SW,CFR.SW,ROG.SW,SREN.SW,SCMN.SW,UBSG.SW,ZURN.SW
8/22/2000,0.0033,-0.0012,0.009,0.003,0.003,0.0126,0.0006,-0.04,-0.0134,0.0042
8/23/2000,0.0071,-0.0087,0.0427,0.0049,-0.002,0.0044,0.0059,-0.0059,-0.0039,0
8/24/2000,-0.0033,-0.005,0.0104,-0.003,-0.0141,-0.0075,-0.0036,0.0136,-0.0136,-0.0094
8/25/2000,-0.0045,-0.0076,-0.0077,0.0007,0.004,-0.0057,0.0014,0.0039,-0.0059,-0.0396
8/28/2000,0.0032,0.0051,-0.004,0.0037,0.0071,0.0038,0.0011,0,0,0.0098
8/29/2000,-0.0098,0,-0.0051,-0.0124,0,-0.0203,-0.0034,-0.0273,-0.0059,-0.0207
8/30/2000,-0.0045,-0.014,0.0075,-0.0072,-0.005,0.0026,0.0014,-0.024,-0.002,-0.0167
8/31/2000,0,-0.0038,0.0053,0.0007,-0.0034,-0.0026,-0.0003,0,0.0059,0.0056
9/1/2000,0.0018,0,0.0035,0.0042,-0.0263,-0.0035,0.0003,0.0299,0.0098,-0.0146
9/4/2000,-0.005,-0.0051,-0.0337,-0.0095,-0.001,-0.0107,-0.0017,0.0214,0,0
9/5/2000,-0.003,0,0.0016,-0.0054,0.0021,-0.0059,-0.0039,-0.0136,-0.002,-0.0079
9/6/2000,-0.0048,-0.0065,0.0049,-0.0015,0.0039,0.0007,-0.0096,-0.0257,-0.002,-0.0395
9/7/2000,0.0009,-0.0104,0.0046,-0.0046,0.0177,0,-0.0094,-0.0192,0,0.02
9/8/2000,-0.0061,-0.0511,-0.0082,-0.0047,0.0145,0.0046,0.0011,-0.0113,0.002,-0.0105
9/11/2000,0.0009,-0.0069,0.0098,0.0058,-0.0004,0.0032,-0.0069,-0.0124,0.0059,-0.0071
9/12/2000,-0.0072,-0.0042,-0.0046,0.0016,-0.004,-0.0075,-0.0136,-0.0042,-0.0019,-0.0288
9/13/2000,-0.0006,-0.0014,0.0033,0.0054,-0.001,-0.0062,0.0139,0.001,-0.0137,-0.0222
9/14/2000,-0.0037,-0.007,-0.0063,-0.0038,0.0054,-0.0206,-0.0037,0.0083,0.0039,0.0087
9/15/2000,0.0015,0.0028,0.0065,-0.0004,0.0026,0.01,-0.0172,-0.0083,0.0039,-0.0124
9/18/2000,-0.0098,-0.0184,-0.0041,0,-0.0202,0.004,-0.0145,-0.0126,-0.0118,-0.0395
9/19/2000,-0.0081,-0.0803,0.0081,0.0015,0.0196,0.0115,-0.0099,-0.0236,-0.018,0.0142
9/20/2000,-0.0051,0.0154,0.0032,-0.01,-0.0014,0.0065,-0.0229,-0.0231,-0.0132,0.019
9/21/2000,0.0043,0.0271,0.0075,0.0097,-0.003,-0.0023,0.0232,-0.0056,0.0031,0.0322
9/22/2000,0.014,0.0147,0.0085,0.0288,0.005,0.0178,0.0182,-0.0272,-0.0061,0.0217
9/25/2000,0.005,0.0073,0.0021,-0.0034,0.008,-0.0026,0.0083,0.0182,0.0203,-0.0072
9/26/2000,-0.0063,-0.019,-0.004,-0.0008,0.002,-0.0221,-0.0038,-0.0023,-0.001,-0.0157
9/27/2000,-0.003,0.003,-0.0016,0.0008,0.0098,0.0026,-0.005,-0.0011,-0.0071,-0.0197
9/28/2000,-0.0011,-0.0104,0.0027,0.0067,-0.001,0.0111,-0.0009,-0.0102,-0.0299,-0.0037
9/29/2000,-0.0282,0.0015,-0.0459,-0.0142,0.0194,-0.0166,-0.0222,-0.0325,-0.0394,-0.0025
10/2/2000,0.0226,0.0235,0.0422,0.0142,-0.0029,0.0114,0.0299,0.0279,0.0363,0.0037
10/3/2000,0.0075,0.0058,0.004,-0.0011,0.001,0.0042,0.0102,0.035,0.0104,0.0185
10/4/2000,-0.0005,0.0058,-0.0048,0.0052,0.0124,0.0039,-0.0041,-0.0156,-0.001,0.0085
10/5/2000,0.0027,0,0.0074,0.0015,0.0085,0.0119,0.0113,-0.0159,0.0072,-0.0122
10/6/2000,-0.0059,0.0014,-0.004,0.0044,-0.0336,0.0086,0.0035,-0.0433,-0.0062,-0.0199
10/9/2000,-0.0209,-0.0188,0.004,-0.0078,-0.0118,-0.0089,0.0014,-0.0279,-0.0456,-0.0318
10/10/2000,0.0072,0.0116,-0.0013,0.0019,0.004,0.0117,0.0037,0.0037,-0.0087,-0.0052
10/11/2000,-0.019,-0.0293,0.0066,0.0078,-0.0259,0.0085,-0.0086,-0.0476,-0.0668,-0.0078
10/12/2000,0.0039,-0.009,-0.009,0,-0.0051,0.0031,0.0055,-0.0181,0.0082,0.0423
10/13/2000,-0.0086,0,-0.0104,-0.0004,-0.0444,-0.0063,-0.0069,0.0052,0.0127,0.0297
10/16/2000,-0.0057,-0.009,-0.033,-0.0081,-0.0013,-0.0133,-0.0073,0.018,0.0046,0.0121
10/17/2000,0.0034,-0.0199,-0.0157,-0.0105,0.0457,0.0195,0.0029,-0.0129,0.0046,0
10/18/2000,0.0035,-0.0298,0.0278,0.0116,-0.0299,0.0031,0,-0.0436,-0.008,0.0436
10/19/2000,0.0163,0.0267,0.006,-0.0011,-0.0169,-0.004,0.0058,0.0514,0.0238,0.0228
10/20/2000,-0.0053,-0.0078,-0.0259,0.0022,-0.0064,0.0006,-0.0009,0.0216,0.0067,-0.0125
10/23/2000,0.006,0.0216,-0.0189,0.0044,0.0275,0.0084,-0.0026,0.0273,0.0306,-0.015
10/24/2000,0.0133,0.0152,0.0195,0.011,0.0206,0,0.0012,0.0731,0.0128,0.0229
10/25/2000,-0.005,-0.0767,0.0226,0.0044,-0.0041,0.0012,-0.0026,0.0269,-0.0139,-0.0114
10/26/2000,0.0033,-0.0131,0.0084,0.0018,-0.009,0,-0.0006,0.0022,0.0371,-0.0057
10/27/2000,0.0032,0.0228,-0.0033,0.0011,0.0082,0.0123,0.011,0.0088,0.0041,-0.0257
10/30/2000,0.0081,-0.0016,0.0087,0.0018,0.0189,0.0061,0.0163,0.0163,0.0041,0.0106
10/31/2000,0.0036,0.0302,0.0032,-0.0156,0.0062,-0.0049,0.0025,-0.0174,0.0265,0.0174
11/1/2000,0.001,0.0171,-0.0067,0,0.0354,0.0046,0.0053,-0.0099,-0.004,0.0114
11/2/2000,0.0123,0.0303,0,0.0044,0.0115,0.0127,0.017,0.0251,0.0219,0.0291
11/3/2000,-0.0028,0,-0.0191,-0.0014,-0.0241,0.0009,0.0028,-0.0262,-0.004,-0.0066
11/6/2000,0.008,0.0265,0.024,-0.0162,-0.0168,0.0018,0.0055,0.0338,0.004,0.0033
11/7/2000,-0.0001,-0.0295,-0.0008,0,-0.007,-0.0027,0.0014,-0.0064,0.0157,0.0044
11/8/2000,-0.0029,-0.0045,0.008,0.0136,-0.0143,0.0072,0.0098,-0.0474,-0.0216,0.0088
11/9/2000,-0.0088,0.009,-0.0024,-0.0015,0.0121,-0.0051,0.0011,-0.0125,-0.012,-0.0176
11/10/2000,0.0023,-0.0395,0.0011,0.0124,-0.0168,0.0104,0.0217,-0.0468,-0.0101,0.022
11/13/2000,-0.006,0.0077,0.0027,0.0072,0.009,0.0009,0.0013,-0.0108,-0.0164,0
11/14/2000,0.0144,0.0243,0,-0.0007,0.0121,0.0071,-0.004,0.0914,0.0345,0.0022
11/15/2000,-0.0013,-0.0151,0.0024,0.0011,0.0149,-0.0065,-0.0096,-0.0269,0.0138,-0.0011
11/16/2000,0.0028,0.0151,-0.0064,0.0018,0.0499,0.0006,0.0199,0.0214,0.0098,-0.0011
11/17/2000,0.0002,0.003,-0.0062,0.0004,-0.0638,0.0029,0.013,-0.0123,0.0097,0.0022
11/20/2000,-0.0002,0,0.0048,0.005,0.003,0.0041,0,-0.0532,-0.0195,0.0033
11/21/2000,0.0032,-0.0045,0.012,0.0093,-0.002,0.0009,0.0052,0.0059,0.0059,0.014
11/22/2000,-0.0169,-0.0197,0.0092,-0.0053,-0.0623,-0.0127,-0.0028,-0.0583,-0.0388,-0.0086
11/23/2000,0.0047,-0.0015,-0.0016,0.0036,0.0272,0.0089,0.0016,0.0198,-0.0031,0.0096
11/24/2000,0.0031,0.0015,-0.0011,0,0.0129,0.0003,-0.007,0.0676,0.0061,0.0043
11/27/2000,0.0075,0.0197,-0.0026,0,0.0051,0.0102,0.0075,0.0091,0.0161,0.0032
